Data Set 1:Time(s),Data Set 1:Temperature 1(°C),Data Set 1:Temperature 2(°C)
85.7,25.3,25.2
85.8,25.3,25.2
85.9,25.3,25.2
86.0,25.3,25.2
86.1,25.3,25.2
86.2,25.3,25.2
86.3,25.3,25.2
86.4,25.3,25.2
86.5,25.3,25.2
86.6,25.3,25.2
86.7,25.6,25.4
86.8,25.3,25.1
86.9,25.3,25.2
87.0,25.3,25.2
87.1,25.3,25.2
87.2,25.3,25.2
87.3,25.4,25.3
87.4,25.5,25.2
87.5,25.3,25.1
87.6,25.3,25.2
87.7,25.3,25.2
87.8,25.3,25.2
87.9,25.3,25.1
88.0,25.3,25.1
88.1,25.3,25.2
88.2,25.3,25.1
88.3,25.5,25.3
88.4,25.3,25.2
88.5,25.3,25.1
88.6,25.3,25.2
88.7,25.3,25.2
88.8,25.3,25.1
88.9,25.3,25.2
89.0,25.3,25.2
89.1,25.3,25.1
89.2,25.3,25.1
89.3,25.3,25.2
89.4,25.6,25.2
89.5,25.3,25.1
89.6,25.3,25.2
89.7,25.3,25.1
89.8,25.3,25.2
89.9,25.3,25.2
90.0,25.3,25.1
90.1,25.3,25.1
90.2,25.3,25.1
90.3,25.5,25.3
90.4,25.3,25.1
90.5,25.3,25.2
90.6,25.3,25.1
90.7,25.5,25.3
90.8,25.3,25.2
90.9,25.3,25.1
91.0,25.3,25.1
91.1,25.3,25.1
91.2,25.3,25.2
91.3,25.3,25.1
91.4,25.3,25.1
91.5,25.3,25.1
91.6,25.3,25.1
91.7,25.3,25.2
91.8,25.3,25.2
91.9,25.3,25.1
92.0,25.3,25.1
92.1,25.3,25.1
92.2,25.3,25.1
92.3,25.3,25.1
92.4,25.3,25.2
92.5,25.2,25.2
92.6,25.3,25.1
92.7,25.3,25.1
92.8,25.3,25.1
92.9,25.3,25.1
93.0,25.3,25.1
93.1,25.3,25.2
93.2,25.3,25.1
93.3,25.5,25.4
93.4,25.3,25.1
93.5,25.3,25.1
93.6,25.3,25.1
93.7,25.3,25.2
93.8,25.2,25.1
93.9,25.3,25.2
94.0,25.3,25.2
